Number,valence,energy,tension,anger,fear,happy,sad,tender,TARGET,,
323,3.00,4.67,5.50,4.83,5.17,1.00,1.83,1.00,HIGH TENSION,,
324,2.33,4.67,5.50,6.33,4.67,1.00,1.00,1.00,HIGH TENSION,,
325,1.80,3.40,5.40,1.00,4.33,1.00,3.17,1.00,HIGH TENSION,,
326,1.60,6.00,5.40,4.00,6.17,1.00,1.00,1.00,HIGH TENSION,,
327,3.17,4.83,5.33,3.67,3.83,1.00,1.83,1.00,HIGH TENSION,,
328,2.40,4.00,5.00,3.67,7.33,1.00,1.00,1.00,HIGH TENSION,,
329,3.80,3.40,4.80,1.33,4.67,1.00,2.50,1.00,HIGH TENSION,,
330,3.50,1.50,3.17,1.83,4.83,1.17,1.67,1.67,HIGH TENSION,,
331,6.67,2.33,1.17,1.00,1.00,3.80,1.40,7.40,LOW TENSION,,
332,6.67,2.67,1.17,1.17,1.00,3.67,1.67,7.50,LOW TENSION,,
333,6.33,3.33,1.50,1.00,1.00,2.33,4.00,7.00,LOW TENSION,,
334,6.50,3.33,1.50,1.00,1.00,3.17,1.83,7.50,LOW TENSION,,
335,6.80,2.80,1.60,1.00,1.00,4.67,1.00,7.83,LOW TENSION,,
336,6.60,3.40,1.60,1.00,1.00,6.00,1.00,7.17,LOW TENSION,,
337,6.80,3.60,1.60,1.00,1.00,2.50,2.00,6.17,LOW TENSION,,
338,5.83,2.67,1.67,1.00,1.00,1.00,5.33,6.00,LOW TENSION,,
339,6.00,2.40,1.80,1.00,1.00,2.67,3.00,6.00,LOW TENSION,,
340,6.00,2.60,2.00,1.00,1.00,4.50,1.00,5.17,LOW TENSION,,
341,4.83,1.17,2.00,1.00,1.33,1.00,6.83,3.17,LOW TENSION,,
342,5.40,3.00,2.00,1.00,1.00,2.00,4.20,5.40,LOW TENSION,,
343,6.40,3.20,2.00,1.00,1.00,4.17,1.00,5.67,LOW TENSION,,
344,5.40,2.20,2.00,1.00,1.00,2.00,6.50,6.83,LOW TENSION,,
345,5.20,1.80,2.20,1.00,1.00,1.83,5.83,5.50,LOW TENSION,,
346,6.80,4.00,2.20,1.00,1.00,5.00,1.00,4.17,LOW TENSION,,
347,4.20,2.40,2.40,1.00,1.33,1.17,4.17,3.17,LOW TENSION,,
348,5.20,2.80,2.60,1.00,1.00,1.67,5.67,5.83,LOW TENSION,,
349,5.17,4.50,2.67,1.00,1.00,4.83,1.00,4.17,LOW TENSION,,
350,5.50,2.17,2.83,1.00,1.00,1.00,3.40,5.40,LOW TENSION,,
351,4.33,1.83,2.83,1.00,1.00,1.00,5.67,3.00,LOW TENSION,,
352,5.40,2.60,3.00,1.00,1.33,1.83,4.17,5.00,LOW TENSION,,
353,5.00,4.00,3.17,1.00,1.00,1.83,1.67,3.00,LOW TENSION,,
354,5.50,3.83,3.17,1.00,1.00,3.50,1.50,4.33,LOW TENSION,,
355,3.40,2.60,3.40,1.00,1.50,1.00,6.00,4.17,LOW TENSION,,
356,4.80,2.40,3.60,1.00,1.00,1.33,6.67,4.50,LOW TENSION,,
357,5.00,2.83,3.67,1.00,2.40,1.00,2.60,4.20,LOW TENSION,,
358,4.20,2.20,4.00,1.00,1.83,1.67,5.50,4.33,LOW TENSION,,
359,4.60,4.20,4.20,1.00,1.33,3.33,2.67,1.00,LOW TENSION,,
360,3.20,3.40,5.00,1.33,5.33,1.00,3.00,1.00,LOW TENSION,,
